rank,player_id,display_name,total_drafts,drafts_with_power,power_percentage,total_power_cards
1,293642151349452800,Dan,15,12,80.0,17
2,416632328715239434,D-Stern,34,26,76.47058823529412,31
3,294316950081896448,ScrappyDoo96,41,31,75.60975609756098,35
4,290845533457612812,Eli Kassis/Shufflerpwned,24,18,75.0,26
5,306627660274991104,Tyler the Destroyer (specialk),16,12,75.0,13
6,112369980317720576,Vash115,78,58,74.35897435897436,75
7,391009614294155275,Nathan_Steuer,15,11,73.33333333333333,14
8,688956996443045944,Timr0d,15,11,73.33333333333333,16
9,435883469478821891,jmrichbart2,20,14,70.0,20
10,689534151275184140,suneater,36,25,69.44444444444444,33
11,634539048534278166,WilliamRegal,49,34,69.38775510204081,47
12,334719362940534785,VipexX,25,17,68.0,20
13,159622642809307136,"paul chenis OB/GYN, PhD, esq.",29,19,65.51724137931035,25
14,318633990523453440,ThePhatz,17,11,64.70588235294117,15
15,231605516432965632,quinniac,65,42,64.61538461538461,57
16,410695152273719297,Sam Rolph,36,23,63.888888888888886,27
17,504119569124950027,Killerpopo,41,26,63.41463414634146,30
18,162362486832627712,jodok,16,10,62.5,14
19,190190161458364416,LSV,33,20,60.60606060606061,22
20,483821864133853205,Joker10289,43,26,60.46511627906976,37
21,232544041412067331,Joe_ABL,15,9,60.0,13
22,1360966695623065733,Sven745,19,11,57.89473684210527,14
23,509545111722524710,darkquarterer,26,15,57.692307692307686,21
24,432006921730392066,sandydog,119,65,54.621848739495796,85
25,494009412554457100,Slax,44,24,54.54545454545454,32
26,558854278773735453,daxerz,22,12,54.54545454545454,15
27,159514729327362048,Kalzad,22,12,54.54545454545454,14
28,332753975319330817,Maximum_Barnage,20,10,50.0,13
29,476445817985564675,Falkoneye,27,12,44.44444444444444,12
30,816653090345320488,nachitob,25,11,44.0,14
31,126581771151212544,Hoaxed,21,9,42.857142857142854,13
